id_pacote,protocolo,rtt_ms,sucesso
1,TCP,0.609,True
2,TCP,0.5143,True
3,TCP,0.4582,True
4,TCP,0.5071,True
5,TCP,0.3892,True
6,TCP,0.3387,True
7,TCP,0.4587,True
8,TCP,0.4765,True
9,TCP,0.5153,True
10,TCP,0.4161,True
11,TCP,0.5049,True
12,TCP,0.5351,True
13,TCP,0.4379,True
14,TCP,0.5554,True
15,TCP,0.505,True
16,TCP,0.4968,True
17,TCP,0.5384,True
18,TCP,0.5476,True
19,TCP,0.5483,True
20,TCP,0.5072,True
21,TCP,0.546,True
22,TCP,0.5328,True
23,TCP,0.5037,True
24,TCP,0.5317,True
25,TCP,0.5604,True
26,TCP,0.4786,True
27,TCP,0.5073,True
28,TCP,0.5528,True
29,TCP,0.5829,True
30,TCP,0.5413,True
31,TCP,0.5651,True
32,TCP,0.5333,True
33,TCP,0.4722,True
34,TCP,0.465,True
35,TCP,0.5263,True
36,TCP,0.5031,True
37,TCP,0.4574,True
38,TCP,0.5662,True
39,TCP,0.4607,True
40,TCP,0.5614,True
41,TCP,0.5488,True
42,TCP,0.4668,True
43,TCP,0.5675,True
44,TCP,0.3522,True
45,TCP,0.5143,True
46,TCP,0.5815,True
47,TCP,0.3549,True
48,TCP,0.5366,True
49,TCP,0.5386,True
50,TCP,0.5236,True
51,TCP,0.5346,True
52,TCP,0.5683,True
53,TCP,0.5312,True
54,TCP,0.4918,True
55,TCP,0.5675,True
56,TCP,0.5785,True
57,TCP,0.5588,True
58,TCP,0.5927,True
59,TCP,0.5465,True
60,TCP,0.553,True
61,TCP,0.5453,True
62,TCP,0.5403,True
63,TCP,0.4834,True
64,TCP,0.5635,True
65,TCP,0.5516,True
66,TCP,0.5715,True
67,TCP,0.5768,True
68,TCP,0.5504,True
69,TCP,0.5548,True
70,TCP,0.4925,True
71,TCP,0.5157,True
72,TCP,0.5073,True
73,TCP,0.5773,True
74,TCP,0.5217,True
75,TCP,0.5238,True
76,TCP,0.5504,True
77,TCP,0.5646,True
78,TCP,0.5586,True
79,TCP,0.5805,True
80,TCP,0.5456,True
81,TCP,0.5574,True
82,TCP,0.5143,True
83,TCP,0.4416,True
84,TCP,0.5505,True
85,TCP,0.524,True
86,TCP,0.5326,True
87,TCP,0.4962,True
88,TCP,0.5191,True
89,TCP,0.5134,True
90,TCP,0.4306,True
91,TCP,0.4821,True
92,TCP,0.4376,True
93,TCP,0.4687,True
94,TCP,0.3997,True
95,TCP,0.303,True
96,TCP,0.3267,True
97,TCP,0.2941,True
98,TCP,0.5183,True
99,TCP,0.5234,True
100,TCP,0.5275,True
1,ICMP,0.063,True
2,ICMP,0.084,True
3,ICMP,0.083,True
4,ICMP,0.085,True
5,ICMP,0.084,True
6,ICMP,0.083,True
7,ICMP,0.091,True
8,ICMP,0.084,True
9,ICMP,0.086,True
10,ICMP,0.084,True
11,ICMP,0.083,True
12,ICMP,0.085,True
13,ICMP,0.086,True
14,ICMP,0.083,True
15,ICMP,0.085,True
16,ICMP,0.084,True
17,ICMP,0.085,True
18,ICMP,0.085,True
19,ICMP,0.084,True
20,ICMP,0.082,True
21,ICMP,0.083,True
22,ICMP,0.085,True
23,ICMP,0.084,True
24,ICMP,0.081,True
25,ICMP,0.084,True
26,ICMP,0.085,True
27,ICMP,0.085,True
28,ICMP,0.082,True
29,ICMP,0.085,True
30,ICMP,0.084,True
31,ICMP,0.086,True
32,ICMP,0.083,True
33,ICMP,0.083,True
34,ICMP,0.084,True
35,ICMP,0.083,True
36,ICMP,0.084,True
37,ICMP,0.084,True
38,ICMP,0.083,True
39,ICMP,0.082,True
40,ICMP,0.086,True
41,ICMP,0.085,True
42,ICMP,0.085,True
43,ICMP,0.089,True
44,ICMP,0.084,True
45,ICMP,0.085,True
46,ICMP,0.083,True
47,ICMP,0.086,True
48,ICMP,0.083,True
49,ICMP,0.083,True
50,ICMP,0.085,True
51,ICMP,0.085,True
52,ICMP,0.08,True
53,ICMP,0.084,True
54,ICMP,0.084,True
55,ICMP,0.085,True
56,ICMP,0.086,True
57,ICMP,0.085,True
58,ICMP,0.084,True
59,ICMP,0.085,True
60,ICMP,0.083,True
61,ICMP,0.089,True
62,ICMP,0.083,True
63,ICMP,0.086,True
64,ICMP,0.086,True
65,ICMP,0.086,True
66,ICMP,0.082,True
67,ICMP,0.086,True
68,ICMP,0.085,True
69,ICMP,0.085,True
70,ICMP,0.084,True
71,ICMP,0.077,True
72,ICMP,0.082,True
73,ICMP,0.085,True
74,ICMP,0.084,True
75,ICMP,0.083,True
76,ICMP,0.084,True
77,ICMP,0.086,True
78,ICMP,0.084,True
79,ICMP,0.088,True
80,ICMP,0.082,True
81,ICMP,0.084,True
82,ICMP,0.085,True
83,ICMP,0.084,True
84,ICMP,0.077,True
85,ICMP,0.085,True
86,ICMP,0.086,True
87,ICMP,0.094,True
88,ICMP,0.073,True
89,ICMP,0.067,True
90,ICMP,0.083,True
91,ICMP,0.081,True
92,ICMP,0.088,True
93,ICMP,0.074,True
94,ICMP,0.083,True
95,ICMP,0.084,True
96,ICMP,0.082,True
97,ICMP,0.081,True
98,ICMP,0.084,True
99,ICMP,0.083,True
100,ICMP,0.084,True
